_id,entidad,nom_ent,mun,nom_mun,loc,nom_loc,ageb,mza,pobtot,pobmas,pobfem,pnacent,pnacent_m,pnacent_f,pnacoe,pnacoe_m,pnacoe_f,pocupada,pocupada_m,pocupada_f,pdesocup,pdesocup_m,pdesocup_f,pcatolica,pncatolica,potras_rel,psin_relig,vivtot,vph_c_elec,vph_s_elec,vph_drenaj,vph_nodren,vph_radio,vph_tv,vph_refri,vph_lavad,vph_autom,vph_pc,vph_telef,vph_cel,vph_inter
ObjectId("5e58434560ccfb347cac4283"),1,Aguascalientes,0,Total de la entidad Aguascalientes,0,Total de la entidad,0,0,1184996,576638,608358,936435,459070,477365,233073,109757,123316,443826,282532,161294,31381,24849,6532,1101785,51766,835,21235,361676,287266,1923,283977,4795,256790,282484,264623,238954,171795,99579,137911,208209,66075
ObjectId("5e58434560ccfb347cac4284"),1,Aguascalientes,1,Aguascalientes,0,Total del municipio,0,0,797010,386429,410581,600255,293925,306330,186972,87621,99351,315954,193840,122114,21020,15770,5250,731800,40707,709,17073,247792,200175,668,198667,1922,182408,197400,188214,170657,124404,81576,109090,157602,56788
ObjectId("5e58434560ccfb347cac4285"),1,Aguascalientes,1,Aguascalientes,1,Total de la localidad urbana,0,0,722250,348722,373528,538419,262607,275812,175010,81721,93289,289716,175144,114572,19173,14204,4969,661240,38255,682,16077,225328,183634,291,183355,374,167880,181062,173467,157607,114283,78107,104297,146684,55003
ObjectId("5e58434560ccfb347cac4286"),1,Aguascalientes,1,Aguascalientes,1,Total AGEB urbana,229,0,410,211,199,273,140,133,121,61,60,167,119,48,7,5,*,360,27,0,23,123,103,*,104,0,93,101,94,85,77,60,63,88,49
ObjectId("5e58434560ccfb347cac4287"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,1,65,34,31,36,18,18,22,11,11,29,15,14,*,0,*,54,5,0,6,24,17,0,17,0,16,17,17,17,15,16,14,17,14
ObjectId("5e58434560ccfb347cac4288"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ObjectId("5e58434560ccfb347cac4289"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ObjectId("5e58434560ccfb347cac428a"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ObjectId("5e58434560ccfb347cac428b"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,6,25,14,11,20,10,10,5,4,*,14,9,5,0,0,0,17,8,0,0,8,7,*,8,0,8,8,6,4,5,*,*,6,*
ObjectId("5e58434560ccfb347cac428c"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,7,99,55,44,95,53,42,4,*,*,42,31,11,3,3,0,95,0,0,4,18,18,0,18,0,13,18,16,12,8,4,6,10,*
ObjectId("5e58434560ccfb347cac428d"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,8,78,40,38,64,35,29,14,5,9,28,22,6,3,*,*,72,3,0,3,20,19,0,19,0,18,16,14,13,10,7,7,13,4
ObjectId("5e58434560ccfb347cac428e"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,10,134,63,71,55,22,33,70,36,34,52,40,12,0,0,0,113,11,0,10,51,40,0,40,0,36,40,40,38,38,31,34,40,28
ObjectId("5e58434560ccfb347cac428f"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ObjectId("5e58434560ccfb347cac4290"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ObjectId("5e58434560ccfb347cac4291"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ObjectId("5e58434560ccfb347cac4292"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ObjectId("5e58434560ccfb347cac4293"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ObjectId("5e58434560ccfb347cac4294"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ObjectId("5e58434560ccfb347cac4295"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ObjectId("5e58434560ccfb347cac4296"),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
